Number,Riding (2023 Representation Order),Province/Territory,Population (2021 Census),Ilocano Mother Tongue,Ilocano per 100K,Tagalog Mother Tongue,Tagalog per 100K,Sum (Tagalog + Ilocano),"Ratio, Ilocano-Tagalog",Cebuano Mother Tongue,Cebuano per 100K,Mandarin Mother Tongue,Mandarin per 100K,Punjabi Mother Tongue,Punjabi per 100K,Cantonese Mother Tongue,Cantonese per 100K,Spanish Mother Tongue,Spanish per 100K,Arabic Mother Tongue,Arabic per 100K
59025,Port Moody—Coquitlam,British Columbia,"115,367",115,99.68188477,1560,1352.206437,1675,0.073717949,85,73.67791483,"8,035",6964.729949,825,715.1091733,"5,300",4594.034689,"2,080",1802.941916,825,715.1091733
59026,Prince George—Peace River—Northern Rockies,British Columbia,"116,962",50,42.748927,1480,1265.368239,1530,0.033783784,100,85.497854,180,153.8961372,950,812.229613,160,136.7965664,335,286.4178109,65,55.5736051
59027,Richmond Centre—Marpole,British Columbia,"116,380",290,249.1837085,"4,050",3479.979378,"4,340",0.071604938,130,111.7030418,"27,795",23882.96958,"1,100",945.1795841,"24,910",21404.02131,"1,290",1108.437876,750,644.4406255
59028,Richmond East—Steveston,British Columbia,"116,141",240,206.6453707,"4,685",4033.889841,"4,925",0.051227321,185,159.2891399,"19,575",16854.51305,"4,105",3534.496862,"23,520",20251.24633,"1,185",1020.311518,920,792.1405877
59029,Saanich—Gulf Islands,British Columbia,"122,147",35,28.65399887,830,679.5091161,865,0.042168675,45,36.84085569,"3,100",2537.925614,"1,635",1338.55109,"2,200",1801.1085,955,781.8448263,355,290.6334171
59030,Similkameen—South Okanagan—West Kootenay,British Columbia,"111,246",25,22.47271812,415,373.0471208,440,0.060240964,25,22.47271812,150,134.8363087,"2,615",2350.646315,205,184.2762886,645,579.7961275,75,67.41815436
59031,Skeena—Bulkley Valley,British Columbia,"89,689",20,22.29927862,445,496.1589493,465,0.04494382,40,44.59855724,55,61.3230162,830,925.4200627,165,183.9690486,250,278.7409827,120,133.7956717
59032,South Surrey—White Rock,British Columbia,"118,278",50,42.27328835,915,773.6011769,965,0.054644809,35,29.59130185,"13,335",11274.286,"6,065",5127.749877,"1,605",1356.972556,"1,165",984.9676187,360,304.3676762
59033,Surrey Centre,British Columbia,"119,724",485,405.098393,5435,4539.607765,5920,0.089236431,235,196.2847883,"3,260",2722.929404,"31,700",26477.56507,"1,975",1649.627477,"2,215",1850.088537,"2,050",1712.271558
59034,Surrey Newton,British Columbia,"119,560",240,200.7360321,"2,775",2321.010371,"3,015",0.086486486,135,112.9140181,"1,005",840.5821345,"52,595",43990.46504,755,631.482101,"1,350",1129.140181,"1,000",836.4001338
