Number,Riding (2023 Representation Order),Province/Territory,Population (2021 Census),Ilocano Mother Tongue,Ilocano per 100K,Tagalog Mother Tongue,Tagalog per 100K,Cebuano Mother Tongue,Cebuano per 100K,Mandarin Mother Tongue,Mandarin per 100K,Punjabi Mother Tongue,Punjabi per 100K,Cantonese Mother Tongue,Cantonese per 100K,Spanish Mother Tongue,Spanish per 100K,Arabic Mother Tongue,Arabic per 100K
24052,Notre-Dame-de-Grâce—Westmount,Quebec,"111,377",140,125.6992018,1015,911.3192131,70,62.84960091,"3,095",2778.850211,420,377.0976054,655,588.0926942,"3,860",3465.706564,"3,195",2868.635356
24053,Outremont,Quebec,"115,051",160,139.0687608,1210,1051.707504,130,112.9933682,910,790.9535771,555,482.3947641,400,347.671902,"4,260",3702.705757,"5,170",4493.659334
24054,Papineau,Quebec,"110,813",20,18.04842392,120,108.2905435,15,13.53631794,535,482.7953399,"5,330",4809.904975,"1,005",906.933302,"6,650",6001.100954,"5,280",4764.783915
24055,Pierre-Boucher—Les Patriotes—Verchères,Quebec,"103,020",0,0,25,24.2671326,0,0,235,228.1110464,0,0,45,43.68083867,"1,245",1208.503203,665,645.505727
24056,Pierrefonds—Dollard,Quebec,"109,497",190,173.5207357,1745,1593.650968,50,45.66335151,"1,940",1771.738038,"1,965",1794.569714,630,575.358229,"2,795",2552.581349,"7,095",6479.629579
24057,Pontiac—Kitigan Zibi,Quebec,"111,138",0,0,125,112.4727816,5,4.498911263,400,359.9129011,25,22.49455632,80,71.98258022,"1,490",1340.675557,"1,735",1561.122208
24058,Portneuf—Jacques-Cartier,Quebec,"106,611",0,0,15,14.0698427,0,0,20,18.75979027,0,0,10,9.379895133,425,398.6455431,205,192.2878502
24059,Québec Centre,Quebec,"103,977",0,0,70,67.32258096,5,4.808755783,175,168.3064524,0,0,45,43.27880204,"1,985",1909.076046,"1,120",1077.161295
24060,Repentigny,Quebec,"111,373",0,0,10,8.978836881,5,4.489418441,85,76.32011349,5,4.489418441,25,22.4470922,"2,205",1979.833532,"1,875",1683.531915
24061,Richmond—Arthabaska,Quebec,"110,651",0,0,45,40.66840788,0,0,30,27.11227192,0,0,15,13.55613596,855,772.6997497,345,311.7911271
24062,Rimouski—La Matapédia,Quebec,"102,019",0,0,0,0,0,0,25,24.50523922,0,0,15,14.70314353,195,191.1408659,140,137.2293396
24063,Rivière-des-Mille-Îles,Quebec,"104,960",5,4.763719512,65,61.92835366,5,4.763719512,235,223.8948171,60,57.16463415,45,42.87347561,"1,925",1834.032012,"2,145",2043.635671
24064,Rivière-du-Nord,Quebec,"113,514",0,0,20,17.61897211,5,4.404743027,65,57.26165935,0,0,20,17.61897211,"1,335",1176.066388,600,528.5691633
24065,Rosemont—La Petite-Patrie,Quebec,"112,909",0,0,50,44.2834495,5,4.42834495,645,571.2564986,100,88.56689901,415,367.5526309,"5,005",4432.773295,"2,800",2479.873172
24066,Saint-Hyacinthe—Bagot—Acton,Quebec,"105,086",0,0,10,9.516015454,5,4.758007727,60,57.09609272,0,0,10,9.516015454,"2,070",1969.815199,575,547.1708886
24067,Saint-Jean,Quebec,"114,617",0,0,35,30.53648237,5,4.362354625,75,65.43531937,0,0,30,26.17412775,805,702.3390945,485,423.1483986
24068,Saint-Laurent,Quebec,"108,763",145,133.3173965,925,850.4730469,40,36.77721284,"3,765",3461.655158,"1,285",1181.467962,"3,035",2790.471024,"3,460",3181.228911,"17,310",15915.33886
24069,Saint-Léonard—Saint-Michel,Quebec,"112,922",5,4.427835143,60,53.13402171,0,0,410,363.0824817,125,110.6958786,860,761.5876446,"8,955",7930.252741,"12,635",11189.13941
24070,Saint-Maurice—Champlain,Quebec,"111,997",0,0,10,8.928810593,5,4.464405297,45,40.17964767,0,0,5,4.464405297,395,352.6880184,200,178.5762119
24071,Shefford,Quebec,"115,924",0,0,55,47.44487768,0,0,50,43.13170698,0,0,25,21.56585349,"1,395",1203.374625,450,388.1853628
24072,Sherbrooke,Quebec,"116,844",5,4.279209887,85,72.74656807,0,0,210,179.7268152,60,51.35051864,45,38.51288898,"2,600",2225.189141,"1,930",1651.775016
24073,Terrebonne,Quebec,"113,797",0,0,20,17.57515576,5,4.39378894,145,127.4198793,10,8.78757788,20,17.57515576,"2,535",2227.650993,"1,605",1410.40625
24074,Thérèse-De Blainville,Quebec,"112,160",0,0,35,31.20542083,5,4.457917261,335,298.6804565,60,53.49500713,35,31.20542083,"1,935",1725.21398,"2,205",1965.941512
24075,Trois-Rivières,Quebec,"114,064",0,0,50,43.83503998,0,0,155,135.8886239,0,0,20,17.53401599,"1,410",1236.148127,"1,070",938.0698555
24076,Vaudreuil,Quebec,"120,653",60,49.72938924,615,509.7262397,10,8.28823154,750,621.6173655,"1,960",1624.493382,145,120.1793573,"2,295",1902.149138,"2,010",1665.93454
